species_name,phylo_clade,phylo_sub_clade,date,papillate,proliferation,sporangiophore,caduceus,pedicel_length,chlamydospores,hyphal_swelling,,oospores,ho_he_s,oogonia_wall,tapering_base,amphi_para,aplerotic_plerotic,oospore_wall_thickness,oospore_wall_index,oospore_wall_cat,,gr_at_opt,gr_at_opt_cat,temp_min,temp_opt,temp_max,temp_profile,temp_range,temp_range_cat
Phytophthora cactorum,1,1a,1886,P,NP,CLS,C,S,CH,NHS,,O,HO,S,NTB,P,P,1.7,0.36,M,,#N/A,#N/A,2,24,31,M,29,W
Phytophthora clandestina,1,1b,1985,P,NP,SS,C,S,NCH,HS,,O,HO,S,NTB,B,B,1.5,0.32,M,,1.5,S,5,23,31,M,26,M
Phytophthora hedraiandra,1,1a,2004,P,NP,SS,C,S,NCH,HS,,O,HO,S,NTB,B,B,2,0.39,M,,5.3,M,3,22,30,L,27,M
Phytophthora idaei,1,1a,1995,P,NP,SS,NC,NA,NCH,NHS,,O,HO,S,NTB,B,A,1.3,0.25,L,,#N/A,#N/A,5,21,27,L,22,M
Phytophthora infestans,1,1c,1876,SP,NP,CS,C,S,NCH,NHS,,O,HE,S,NTB,A,B,1.3,0.24,L,,#N/A,#N/A,4,19,26,L,22,M
Phytophthora ipomoeae,1,1c,2002,SP,NP,CS,C,S,NCH,NHS,,O,HO,S,NTB,A,B,1.5,0.29,L,,10,F,11,21,24,L,13,N
Phytophthora iranica,1,1b,1971,P,NP,CS,NC,NA,CH,HS,,O,HO,S,NTB,B,A,2.7,0.46,M,,#N/A,#N/A,10,27.5,35,H,25,M
Phytophthora mirabilis,1,1c,1985,SP,NP,CS,C,S,NCH,NHS,,O,HE,S,NTB,A,B,1,0.26,L,,#N/A,#N/A,#N/A,19,24,L,#N/A,#N/A
Phytophthora nicotianae,1,1,1896,P,NP,SS,NC,S,CH,HS,,O,HE,S,NTB,A,A,1.4,0.33,M,,6,M,5,29.5,35,H,30,W
Phytophthora phaseoli,1,1c,1889,SP,NP,CS,C,S,NCH,NHS,,O,HO,S,NTB,A,A,1.1,0.28,L,,#N/A,#N/A,5,17.5,27,L,22,M
Phytophthora pseudotsugae,1,1a,1983,P,NP,SS,NC,NA,NCH,HS,,O,HO,S,NTB,B,B,1.2,0.27,L,,#N/A,#N/A,2,21,30,L,28,W
Phytophthora tentaculata,1,1b,1993,P,NP,SS,C,S,CH,HS,,O,HO,S,NTB,B,B,1.36,0.27,L,,4,S,7,22,30,L,23,M
Phytophthora x andina,1,1c,2010,SP,NP,CS,C,S,NCH,NHS,,O,HE,S,TB,A,P,1,0.18,L,,9,M,5,22,30,L,25,M
Phytophthora x pelgrandis,1,1a,2009,P,NP,SS,NC,NA,NCH,NHS,,O,HO,S,NTB,B,A,1.1,0.21,L,,7,M,7.5,27,32.5,M,25,M
Phytophthora x serendipita,1,1a,2012,P,NP,SS,C,S,NCH,NHS,,O,HO,S,NTB,B,P,1.5,0.32,M,,5,M,7.5,27,31,M,23.5,M
Phytophthora 'acacia',2,2d,NA,SP,P,SS,NC,NA,NCH,NHS,,O,HE,S,NTB,A,A,3.96,0.34,M,,10,F,4,25,38,M,34,W
Phytophthora 'aquatilis',2,2e,2012,SP,NP,UN,C,M,NCH,NHS,,O,HO,S,NTB,P,P,2.1,0.33,M,,6.8,M,5,20,31,L,26,M
Phytophthora 'emanzi',2,2c,2010,SP,NP,SS,NC,NA,NCH,NHS,,O,HO,S,NTB,A,SA,2.2,0.4,M,,5,M,7.5,20,27.5,L,20,N
Phytophthora 'mekongensis',2,2a,2017,P,NP,SS,C,M,NCH,NHS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,8,M,8,26,32,M,24,M
Phytophthora acerina,2,2c,2014,SP,NP,SS,NC,NA,NCH,HS,,O,HO,S,NTB,P,SA,2,0.38,M,,8,M,7.5,25,32,M,24.5,M
Phytophthora amaranthi,2,2b,2016,P,NP,SS,C,S,NCH,NHS,,O,HO,S,NTB,A,A,1.4,0.26,L,,6.1,M,8,24,32,M,24,M
Phytophthora bishii,2,2d,2008,SP,P,UN,NC,NA,NCH,HS,,O,HO,S,NTB,P,P,3.3,0.39,M,,3,S,10,23,30,M,20,N
Phytophthora botryosa,2,2a,1969,P,NP,CLS,C,M,CH,NHS,,O,HE,S,NTB,A,P,1.2,0.28,L,,#N/A,#N/A,9,26,32,M,23,M
Phytophthora capensis,2,2c,2010,SP,NP,UN,NC,NA,NCH,NHS,,O,HO,S,NTB,P,P,2.7,0.56,H,,7.8,M,7.5,22.5,28,M,20.5,M
Phytophthora capsici,2,2b,1922,P,NP,SS,C,L,CH,HS,,O,HE,S,NTB,A,P,3.2,0.54,H,,#N/A,#N/A,6,30,37,H,31,W
Phytophthora caryae,2,2c,2016,SP,NP,SS,NC,NA,NCH,HS,,O,HO,S,NTB,P,P,1.3,0.29,L,,7.6,M,7.5,25,32,M,24.5,M
Phytophthora citricola,2,2c,1927,SP,NP,SS,NC,NA,NCH,NHS,,O,HO,S,NTB,P,P,1.65,0.36,M,,6,M,7.5,25,32,M,24.5,M
Phytophthora citrophthora,2,2a,1925,P,NP,SS,NC,NA,CH,HS,,O,HE,S,NTB,A,P,2,0.38,M,,7.5,M,4,27,33,M,29,W
Phytophthora colocasiae,2,2a,1900,SP,NP,SS,C,M,CH,HS,,O,HE,O,NTB,A,A,1.2,0.28,L,,#N/A,#N/A,10,27,35,M,25,M
Phytophthora elongata,2,2d,2010,SP,P,SS,NC,NA,NCH,HS,,O,HO,S,TB,P,P,2.27,0.42,M,,6,M,5,23,30,M,25,M
Phytophthora frigida,2,2d,2007,P,NP,SS,C,S,CH,HS,,O,HE,S,NTB,A,A,2,0.32,M,,8,M,7.5,27.5,35,H,27.5,W
Phytophthora glovera,2,2b,2011,P,NP,SS,NC,NA,NCH,NHS,,O,HO,S,NTB,B,A,4.5,0.7,H,,5,M,13,25,32,M,19,N
Phytophthora himalsilva,2,2a,2011,P,NP,SS,C,M,NCH,NHS,,O,HO,S,NTB,B,A,3.5,0.65,H,,7,M,#N/A,23,30,M,#N/A,#N/A
Phytophthora meadii,2,2a,1918,SP,NP,SS,C,M,CH,NHS,,O,HO,S,NTB,A,SA,4,0.7,H,,#N/A,#N/A,6,27.5,33,H,27,M
Phytophthora mengei,2,2b,2009,SP,NP,SS,NC,NA,NCH,NHS,,O,HO,S,TB,P,P,2.3,0.51,H,,7.5,M,8,25,32,M,24,M
Phytophthora mexicana,2,2b,1923,P,NP,SS,NC,NA,CH,NHS,,O,HE,S,NTB,A,P,2.1,0.42,M,,#N/A,#N/A,10,27.5,35,H,25,M
Phytophthora multivesiculata,2,2e,1998,SP,P,SS,NC,NA,NCH,HS,,O,HO,S,TB,A,A,3,0.45,M,,5.5,M,7.5,24,33,M,25.5,M
Phytophthora multivora,2,2c,2009,SP,NP,SS,NC,NA,NCH,HS,,O,HO,S,TB,P,P,2.6,0.52,H,,7.5,M,7.5,25,32,M,24.5,M
Phytophthora occultans,2,2a,2015,SP,NP,SS,C,M,NCH,NHS,,O,HO,S,NTB,P,P,2.5,0.48,M,,10,F,11,25,30,M,19,N
Phytophthora pachypleura,2,2c,2014,SP,NP,SS,NC,NA,NCH,NHS,,O,HO,S,NTB,P,P,2.6,0.71,H,,7,M,7.5,25,32,M,24.5,M
Phytophthora pini,2,2c,1925,SP,NP,SS,NC,NA,NCH,HS,,O,HO,S,NTB,P,P,1.7,0.34,M,,9.2,M,7.5,25,32,M,24.5,M
Phytophthora plurivora,2,2c,2009,SP,NP,SS,NC,NA,NCH,NHS,,O,HO,S,TB,P,P,1.45,0.3,M,,8.5,M,7.5,25,32,M,24.5,M
Phytophthora siskiyouensis,2,2b,2007,SP,NP,SS,C,L,NCH,HS,,O,HO,S,TB,B,B,1.57,0.33,M,,7.2,M,4,23,28,M,24,M
Phytophthora terminalis,2,2a,2015,SP,NP,SS,C,M,NCH,NHS,,O,HO,S,NTB,P,A,1.1,0.21,L,,7.5,M,11,26,28,M,17,N
Phytophthora tropicalis,2,2b,2001,P,NP,SS,C,L,CH,NHS,,O,HE,S,NTB,A,P,1.1,0.23,L,,#N/A,#N/A,10,28,33,H,23,M
Phytophthora ilicis,3,3,1957,SP,NP,SS,C,S,CH,NHS,,O,HO,S,TB,A,P,0.7,0.2,L,,3.2,S,5,17,25,L,20,N
Phytophthora nemorosa,3,3,2003,SP,NP,SS,C,M,NCH,HS,,O,HO,S,NTB,A,A,2.2,0.39,M,,#N/A,#N/A,3,15,21,L,18,N
Phytophthora pluvialis,3,3,2013,SP,NP,SS,C,M,NCH,HS,,O,HO,S,NTB,A,A,2.7,0.47,M,,1.4,S,4,17,25,L,21,M
Phytophthora pseudosyringae,3,3,2003,SP,NP,SS,C,S,NCH,HS,,O,HO,S,TB,B,P,1.35,0.29,L,,4.6,S,4,21,25,L,21,M
Phytophthora psychrophila,3,3,2002,SP,NP,SS,C,M,CH,NHS,,O,HO,S,TB,A,P,2.4,0.42,M,,3.5,S,3,17,25,L,22,M
Phytophthora alticola,4,4,2007,P,NP,SS,NC,NA,NCH,HS,,O,HO,S,NTB,P,A,2.5,0.51,H,,9,M,12,25,30,M,18,N
Phytophthora arenaria,4,4,2011,P,NP,UN,NC,NA,NCH,HS,,O,HO,S,TB,P,A,2.3,0.5,H,,7,M,12,29,35,H,23,M
Phytophthora boodjera,4,4,2015,P,NP,SS,NC,NA,NCH,HS,,O,HO,S,NTB,P,A,2.5,0.47,M,,10,F,12,27.5,35,H,23,M
Phytophthora litchii,4,4,2007,P,P,DM,NC,NA,NCH,NHS,,O,HO,S,NTB,B,B,1.8,0.4,M,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Phytophthora megakarya,4,4,1979,P,NP,SS,C,M,CH,NHS,,O,HE,S,TB,A,B,2.25,0.45,M,,#N/A,#N/A,9,24,30,M,21,M
Phytophthora palmivora,4,4,1919,P,NP,SS,C,S,CH,HS,,O,HE,S,NTB,A,B,1.9,0.42,M,,7,M,11,27,35,M,24,M
Phytophthora quercetorum,4,4,2008,P,NP,SS,NC,NA,CH,NHS,,O,HO,S,TB,P,A,1.9,0.39,M,,7.3,M,7,22,32,L,25,M
Phytophthora agathidicida,5,5,2015,P,NP,UN,NC,NA,NCH,HS,,O,HO,O,TB,A,P,4,0.64,H,,5.7,M,6,21.5,25,L,19,N
Phytophthora castaneae,5,5,1976,P,NP,IB,NC,NA,CH,NHS,,O,HO,O,TB,A,SA,2.8,0.67,H,,5.8,M,6,22.5,30,M,24,M
Phytophthora cocois,5,5,2015,P,NP,UN,NC,NA,NCH,NHS,,O,HO,S,TB,A,P,3.7,0.66,H,,5.8,M,10,22,30,L,20,N
Phytophthora heveae,5,5,1929,P,NP,SS,NC,NA,NCH,HS,,O,HO,S,TB,A,A,2.6,0.53,H,,5.8,M,10,22.5,32,M,22,M
Phytophthora 'paludosa',6,6b,2011,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,NTB,P,A,2.5,0.44,M,,6.3,M,5,25,32.5,M,27.5,W
Phytophthora 'personii',6,6a,NA,NP,P,UN,NC,NA,CH,HS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,13,F,4,25,39,M,35,W
Phytophthora 'raspberry',6,6b,NA,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,TB,P,A,#N/A,#N/A,#N/A,,7,M,8,28,35,H,27,M
Phytophthora 'walnut',6,6a,NA,NP,P,UN,NC,NA,NCH,NHS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,14,F,5,32,39,H,34,W
Phytophthora amnicola,6,6b,2012,NP,P,UN,NC,NA,NCH,HS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,6.5,M,7.5,27.5,38,H,30.5,W
Phytophthora asparagi,6,6c,2012,NP,P,UN,NC,NA,NCH,NHS,,O,HO,S,NTB,A,A,2.8,0.49,M,,11,F,5,25,30,M,25,M
Phytophthora balyanboodja,6,6a,2018,NP,P,UN,NC,NA,NCH,NHS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,14,F,7.5,32.5,40,H,32.5,W
Phytophthora bilorbang,6,6b,2012,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,NTB,P,SA,3,0.42,M,,4,S,5,25,32.5,M,27.5,W
Phytophthora borealis,6,6b,2012,NP,P,UN,NC,NA,NCH,NHS,,O,HE,S,NTB,A,A,2,0.37,M,,3.1,S,2,17,30,L,28,W
Phytophthora chlamydospora,6,6b,2015,NP,P,UN,NC,NA,CH,HS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,4.5,S,5,27,37,M,32,W
Phytophthora condilina,6,6a,2018,NP,P,UN,NC,NA,CH,HS,,O,HO,S,TB,P,A,3.3,0.44,M,,10,F,5,25,35,M,30,W
Phytophthora cooljarloo,6,6a,2018,NP,P,UN,NC,NA,NCH,HS,,O,HO,W,TB,P,A,2.8,0.4,M,,11,F,5,25,35,M,30,W
Phytophthora crassamura,6,6b,2015,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,NTB,P,A,4.8,0.57,H,,7.1,M,5,25,34,M,29,W
Phytophthora fluvialis,6,6b,2011,NP,P,UN,NC,NA,NCH,HS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,6,M,10,32,38,H,28,W
Phytophthora gemini,6,6a,2011,NP,P,UN,NC,NA,NCH,HS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,14,F,4,28,35,H,31,W
Phytophthora gibbosa,6,6b,2011,NP,P,UN,NC,NA,NCH,HS,,O,HO,W,NTB,A,A,3.17,0.49,M,,6.3,M,7.5,30,34,H,26.5,M
Phytophthora gonapodyides,6,6b,1927,NP,P,UN,NC,NA,NCH,HS,,O,HE,O,NTB,A,B,1.1,0.28,L,,3.5,S,3,25,34,M,31,W
Phytophthora gregata,6,6b,2011,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,TB,B,A,2.65,0.42,M,,6.5,M,7.5,25,34,M,26.5,M
Phytophthora humicola,6,6a,1985,NP,P,UN,NC,NA,CH,HS,,O,HO,S,NTB,P,A,4,0.57,H,,11,F,5,25,35,M,30,W
Phytophthora inundata,6,6a,2003,NP,P,UN,NC,NA,CH,HS,,O,HE/HO,S,NTB,A,A,5.4,0.64,H,,12.5,F,4,25,38,M,34,W
Phytophthora kwongonina,6,6a,2018,NP,P,UN,NC,NA,NCH,HS,,O,HO,W,NTB,P,A,4.9,0.6,H,,13.5,F,5,29,35,H,30,W
Phytophthora lacustris,6,6b,2013,NP,P,UN,NC,NA,NCH,NHS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,3.4,S,2,28,36,H,34,W
Phytophthora litoralis,6,6b,2011,NP,P,UN,NC,NA,CH,HS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,4.5,S,10,30,34,H,24,M
Phytophthora megasperma,6,6b,1931,NP,P,SS,NC,NA,NCH,HS,,O,HO,S,NTB,P,B,3.31,0.41,M,,6,M,4,25,31,M,27,M
Phytophthora mississippiae,6,6b,2013,NP,P,UN,NC,NA,NCH,HS,,O,HE,O,TB,A,P,4,0.55,H,,4,S,5,25,38,M,33,W
Phytophthora moyootj,6,6b,2014,NP,P,UN,NC,NA,NCH,NHS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,3,S,10,27.5,32.5,H,22.5,M
