species_name,phylo_clade,phylo_sub_clade,date,papillate,proliferation,sporangiophore,caduceus,pedicel_length,chlamydospores,hyphal_swelling,,oospores,ho_he_s,oogonia_wall,tapering_base,amphi_para,aplerotic_plerotic,oospore_wall_thickness,oospore_wall_index,oospore_wall_cat,,gr_at_opt,gr_at_opt_cat,temp_min,temp_opt,temp_max,temp_profile,temp_range,temp_range_cat
Phytophthora ornamentata,6,6b,2015,NP,P,UN,NC,NA,NCH,HS,,O,HO,O,NTB,B,B,4.3,0.63,H,,6,M,5,25,32,M,27,M
Phytophthora pinifolia,6,6b,2008,NP,NP,SS,C,M,NCH,HS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,1.2,S,10,25,30,M,20,N
Phytophthora pseudorosacearum,6,6a,2018,NP,P,UN,NC,NA,CH,HS,,O,HO,W,TB,P,A,2.4,0.41,M,,12,F,5,30,39,H,34,W
Phytophthora riparia,6,6b,2012,NP,P,UN,NC,NA,NCH,NHS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,2.5,S,4,30,35,H,31,W
Phytophthora rosacearum,6,6a,2009,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,NTB,P,SA,1.8,0.33,M,,12,F,5,30,39,H,34,W
Phytophthora thermophila,6,6b,2011,NP,P,UN,NC,NA,CH,HS,,O,HO,S,NTB,P,A,2.3,0.46,M,,5,M,10,32.5,37,H,27,M
Phytophthora x stagnum,6,6b,2014,P,P,UN,NC,NA,CH,HS,,O,HE,O,NTB,A,P,2.8,0.49,M,,4,S,5,25,35,M,30,W
Phytophthora asiatica,7,7b,2014,NP,P,SS,NC,NA,NCH,HS,,O,HO,S,NTB,A,A,2.8,0.43,M,,5,M,7.5,28,35,H,27.5,W
Phytophthora attenuata,7,7a,2017,NP,P,UN,NC,NA,NCH,NHS,,O,HO,O,TB,A,A,2.9,0.41,M,,4.2,S,5,25,30,M,25,M
Phytophthora cajani,7,7b,1978,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,NTB,A,A,1.23,0.21,L,,#N/A,#N/A,9,28,36,H,27,M
Phytophthora cambivora,7,7a,1927,NP,P,UN,NC,NA,NCH,HS,,O,HE,O,TB,A,P,3,0.4,M,,7,M,4,23,32,M,28,W
Phytophthora cinnamomi,7,7c,1922,NP,P,UN,NC,NA,CH,HS,,O,HE,S,NTB,A,P,1.8,0.34,M,,7,M,6,28,33,H,27,M
Phytophthora europaea,7,7a,2002,NP,P,UN,NC,NA,NCH,NHS,,O,HO,S,NTB,P,A,1.76,0.38,M,,4.8,S,3,25,32,M,29,W
Phytophthora flexuosa,7,7a,2017,NP,P,UN,NC,NA,NCH,HS,,O,HO,O,TB,P,P,3.1,0.47,M,,4.7,S,5,25,32.5,M,27.5,W
Phytophthora formosa,7,7a,2017,NP,P,UN,NC,NA,NCH,NHS,,O,HO,O,TB,P,P,3,0.43,M,,5,M,5,25,32.5,M,27.5,W
Phytophthora fragariae,7,7a,1940,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,TB,B,B,2.14,0.38,M,,1.9,S,4,20,28,L,24,M
Phytophthora fragariaefolia,7,7d,2014,NP,P,SS,NC,NA,CH,HS,,O,HO,S,TB,P,A,2.9,0.49,M,,4.5,S,7,27,33,M,26,M
Phytophthora intricata,7,7a,2017,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,NTB,P,P,3.6,0.45,M,,5.5,M,5,25,32.5,M,27.5,W
Phytophthora melonis,7,7b,1976,NP,P,UN,NC,NA,NCH,HS,,O,HE,S,NTB,A,B,2.2,0.39,M,,#N/A,#N/A,9,28,37,H,28,W
Phytophthora nagaii,7,7d,2014,NP,P,UN,NC,NA,CH,HS,,O,HO,S,TB,P,A,3.3,0.44,M,,4.4,S,5,28,33,H,28,W
Phytophthora niederhauserii,7,7b,2014,NP,P,UN,NC,NA,NCH,HS,,O,HE,S,TB,A,P,5,0.66,H,,14,F,7.5,30,37,H,29.5,W
Phytophthora parvispora,7,7c,2013,NP,P,SS,NC,NA,CH,HS,,O,HE,S,TB,A,P,1.9,0.39,M,,13,F,12,27.5,36,H,24,M
Phytophthora pisi,7,7b,2013,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,NTB,A,A,2.6,0.46,M,,4.3,S,4,25,35,M,31,W
Phytophthora pistaciae,7,7b,2001,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,NTB,B,A,2,0.38,M,,3,S,5,30,33,H,28,W
Phytophthora rubi,7,7a,2007,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,TB,A,B,1.96,0.33,M,,3,S,3,20,28,L,25,M
Phytophthora sojae,7,7b,1958,NP,P,UN,NC,NA,CH,HS,,O,HO,S,TB,B,B,1.8,0.31,M,,#N/A,#N/A,10,25,33,M,23,M
Phytophthora tyrrhenica,7,7a,2017,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,NTB,P,P,2.9,0.41,M,,1.5,S,5,20,30,L,25,M
Phytophthora uliginosa,7,7a,2002,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,TB,B,B,3.08,0.49,M,,1.2,S,4,20,25,L,21,M
Phytophthora uniformis,7,7a,2004,NP,P,UN,NC,NA,NCH,NHS,,O,HO,S,TB,A,P,2.8,0.39,M,,6.7,M,5,25,30,M,25,M
Phytophthora vignae,7,7b,1957,NP,P,SS,NC,NA,CH,HS,,O,HO,S,NTB,A,A,3,0.54,H,,#N/A,#N/A,10,30,32.5,H,22.5,M
Phytophthora vulcanica,7,7a,2017,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,TB,P,B,2.4,0.4,M,,0.7,S,5,15,30,L,25,M
Phytophthora x alni,7,7a,2004,NP,P,UN,NC,NA,NCH,NHS,,O,HO,O,TB,A,P,1.67,0.39,M,,6.2,M,3,20,29,L,26,M
Phytophthora x heterohybrida,7,7a,2016,NP,P,UN,C,S,NCH,HS,,O,HE,O,TB,A,P,3.1,0.43,M,,7,M,5,25,32.5,M,27.5,W
Phytophthora x incrassata,7,7a,2016,NP,P,UN,NC,NA,CH,HS,,O,HE,O,TB,A,P,3.1,0.41,M,,6,M,5,20,32.5,L,27.5,W
Phytophthora x multiformis,7,7a,2004,NP,P,UN,NC,NA,NCH,NHS,,O,HO,O,TB,B,P,3,0.4,M,,6.4,M,3,20,29,L,26,M
Phytophthora 'castitis',8,8b,2013,SP,NP,UN,NC,NA,CH,HS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,2.1,S,0,20,27,L,27,M
Phytophthora 'kelmania',8,8a,NA,NP,P,UN,NC,NA,NCH,HS,,O,HE,S,NTB,A,B,2.7,0.4,M,,7,M,3,25,35,M,32,W
Phytophthora 'parsley',8,8b,2013,NP,NP,SS,NC,NA,NCH,HS,,O,HO,S,NTB,B,P,1.2,0.21,L,,2,S,0,18,24,L,24,M
Phytophthora austrocedri,8,8d,2007,SP,NP,UN,NC,NA,NCH,HS,,O,HO,S,NTB,A,A,1.5,0.26,L,,1.5,S,2,15,25,L,23,M
Phytophthora brassicae,8,8b,2002,SP,NP,SS,C,S,NCH,HS,,O,HO,S,NTB,A,A,1.5,0.22,L,,2.3,S,2,21,25,L,23,M
Phytophthora cichorii,8,8b,2013,SP,NP,SS,NC,NA,NCH,HS,,O,HE,S,NTB,A,B,1.2,0.24,L,,1.1,S,0,17,24,L,24,M
Phytophthora cryptogea,8,8a,1919,NP,P,UN,NC,NA,NCH,HS,,O,HE,S,NTB,A,P,2.67,0.54,H,,6.5,M,3,25,34,M,31,W
Phytophthora dauci,8,8b,2013,SP,NP,SS,NC,NA,CH,HS,,O,HO,S,NTB,P,P,1.2,0.24,L,,1,S,0,15,21,L,21,M
Phytophthora drechsleri,8,8a,1931,NP,P,UN,NC,NA,NCH,HS,,O,HE,S,TB,A,B,3,0.51,H,,#N/A,#N/A,3,30,37,H,34,W
Phytophthora erythroseptica,8,8a,1913,NP,P,SS,NC,NA,NCH,HS,,O,HO,S,NTB,A,A,3.5,0.52,H,,6.3,M,3,25,32,M,29,W
Phytophthora foliorum,8,8c,2006,SP,P,SS,C,S,NCH,NHS,,O,HO,S,NTB,P,P,1.99,0.32,M,,3.1,S,3,20,28,L,25,M
Phytophthora hibernalis,8,8c,1925,SP,NP,UN,C,L,NCH,NHS,,O,HO,S,NTB,B,B,3.5,0.55,H,,#N/A,#N/A,4,20,25,L,21,M
Phytophthora lactucae,8,8b,2013,SP,NP,SS,NC,NA,CH,HS,,O,HO,S,NTB,B,P,1.35,0.25,L,,1.5,S,0,19,24,L,24,M
Phytophthora lateralis,8,8c,1942,NP,P,SS,NC,NA,CH,NHS,,O,HO,S,NTB,P,P,6,0.66,H,,#N/A,#N/A,3,21,26,L,23,M
Phytophthora medicaginis,8,8a,1991,NP,P,UN,NC,NA,CH,HS,,O,HO,S,NTB,B,B,3,0.56,H,,4.5,S,5,27.5,35,H,30,W
Phytophthora obscura,8,8d,2012,SP,NP,UN,NC,NA,NCH,HS,,O,HO,S,TB,P,P,2.3,0.41,M,,4,S,2,23,25,M,23,M
Phytophthora porri,8,8b,1931,SP,NP,SS,NC,NA,CH,HS,,O,HO,S,NTB,B,A,1.1,0.2,L,,#N/A,#N/A,3,17,25,L,22,M
Phytophthora primulae,8,8b,1952,NP,NP,UN,NC,NA,NCH,HS,,O,HO,S,NTB,B,A,1.2,0.22,L,,#N/A,#N/A,3,20,27,L,24,M
Phytophthora pseudocryptogea,8,8a,2015,NP,P,UN,NC,NA,NCH,HS,,O,HE,S,NTB,A,A,2,0.35,M,,6.5,M,3,25,34,M,31,W
Phytophthora pseudolactucae,8,8b,2015,SP,NP,SS,NC,NA,CH,HS,,O,HO,S,NTB,P,A,3,0.45,M,,3.2,S,3,22,25,L,22,M
Phytophthora ramorum,8,8c,2001,SP,NP,SS,C,S,CH,NHS,,O,HE,S,NTB,P,P,1,0.21,L,,2.8,S,2,20,27,L,25,M
Phytophthora sansomeana,8,8a,2009,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,NTB,B,B,1.5,0.24,L,,7,M,3,27,36,M,33,W
Phytophthora syringae,8,8d,1909,SP,NP,SS,NC,NA,NCH,HS,,O,HO,S,NTB,B,P,1.2,0.25,L,,4.2,S,3,20,25,L,22,M
Phytophthora trifolii,8,8a,1991,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,NTB,B,A,1.45,0.23,L,,3,S,7,22,30,L,23,M
Phytophthora 'prodigiosa',9,9b,2017,NP,P,UN,NC,NA,CH,HS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,6,M,12,32,36,H,24,M
Phytophthora aquimorbida,9,9a,2012,NP,P,UN,NC,NA,CH,HS,,O,HO,S,TB,A,P,3.8,0.51,H,,5,M,7.5,30,40,H,32.5,W
Phytophthora captiosa,9,9d,2006,NP,P,UN,NC,NA,NCH,NHS,,O,HO,S,TB,A,P,1.5,0.28,L,,5.3,M,2,22,30,L,28,W
Phytophthora chrysanthemi,9,9a,2011,NP,P,UN,NC,NA,CH,HS,,O,HO,S,TB,B,A,3.4,0.55,H,,4.1,S,5,30,35,H,30,W
Phytophthora constricta,9,9d,2011,NP,P,UN,NC,NA,NCH,NHS,,O,HO,S,TB,P,B,2.9,0.36,M,,6,M,5,22,32,L,27,M
Phytophthora estuarina,9,9a,2016,SP,P,UN,NC,NA,NCH,HS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,12,F,5,30,35,H,30,W
Phytophthora fallax,9,9d,2006,NP,P,SS,NC,NA,CH,NHS,,O,HO,S,NTB,B,P,2,0.33,M,,3.1,S,2,20,27,L,25,M
Phytophthora hydrogena,9,9a,2014,NP,P,UN,NC,NA,NCH,HS,,O,HE,S,NTB,A,P,1.8,0.26,L,,7,M,10,30,38,H,28,W
Phytophthora hydropathica,9,9a,2010,NP,P,UN,NC,NA,CH,HS,,O,HE,S,NTB,B,P,2.2,0.31,M,,14,F,7.5,30,38,H,30.5,W
Phytophthora insolita,9,9b,1980,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,NTB,#N/A,#N/A,2.4,0.38,M,,#N/A,#N/A,9,32,38,H,29,W
Phytophthora irrigata,9,9a,2008,NP,P,UN,NC,NA,NCH,NHS,,O,HE,S,NTB,A,P,2.9,0.36,M,,12,F,7.5,30,35,H,27.5,W
Phytophthora macilentosa,9,9a,2014,NP,P,UN,NC,NA,NCH,HS,,O,HE,S,NTB,A,A,1.2,0.25,L,,5,M,7,30,38,H,31,W
Phytophthora macrochlamydospora,9,9c,1991,SP,P,UN,NC,NA,CH,HS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,#N/A,#N/A,6,27,36,M,30,W
Phytophthora parsiana,9,9a,2008,NP,P,UN,NC,NA,CH,HS,,O,HE,S,NTB,A,A,3.3,0.6,H,,8,M,10,30,37,H,27,M
Phytophthora polonica,9,9b,2006,NP,P,UN,NC,NA,CH,HS,,O,HO,S,NTB,B,B,2.9,0.36,M,,7,M,5,30,38,H,33,W
Phytophthora pseudopolonica,9,9b,2017,NP,P,UN,NC,NA,CH,HS,,O,HO,S,NTB,P,B,1.2,0.3,M,,10,F,5,30,35,H,30,W
Phytophthora quininea,9,9c,1947,NP,NP,SS,NC,NA,NCH,HS,,O,HO,S,NA,P,A,#N/A,#N/A,#N/A,,#N/A,#N/A,15,25,32,M,17,N
Phytophthora rhizophorae,9,9a,2016,NP,P,UN,NC,NA,NCH,HS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,14,F,5,30,35,H,30,W
Phytophthora richardiae,9,9c,1927,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,NTB,B,P,5,0.7,H,,#N/A,#N/A,10,24,31,M,21,M
Phytophthora virginiana,9,9a,2013,NP,P,UN,NC,NA,CH,HS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,7.5,M,10,30,40,H,30,W
Phytophthora boehmeriae,10,10,1927,P,NP,UN,C,S,CH,NHS,,O,HO,S,NTB,A,P,1.67,0.35,M,,#N/A,#N/A,6,25,32.5,M,26.5,M
Phytophthora gallica,10,10,2008,NP,NP,UN,NC,NA,CH,HS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,2.1,S,4,21,30,L,26,M
Phytophthora gondwanensis,10,10,2015,P,NP,SS,NC,NA,NCH,HS,,O,HO,S,NTB,A,P,2.7,0.47,M,,5.5,M,5,27.5,35,H,30,W
Phytophthora intercalaris,10,10,2016,NP,P,UN,NC,NA,CH,HS,,O,HE,O,NTB,A,P,2,0.3,M,,3,S,6,27,32.5,M,26.5,M
Phytophthora kernoviae,10,10,2005,P,NP,SS,C,M,NCH,NHS,,O,HO,S,TB,B,P,3.5,0.68,H,,4,S,4,18,26,L,22,M
Phytophthora morindae,10,10,2010,P,NP,U,C,M,NCH,NHS,,O,HO,S,TB,B,B,3.2,0.51,H,,2.9,S,10,20,27,L,17,N
Phytophthora 'ohioensis',11,11,2017,P,NP,SS,NC,NA,NCH,NHS,,O,HO,S,NTB,P,A,2.65,0.44,M,,2.6,S,5,21,27,L,22,M
Phytophthora castanetorum,11,,2017,P,NP,UN,NC,NA,CH,HS,,O,HO,S,TB,P,B,3.1,0.51,H,,3.6,S,5,20,30,L,25,M
Phytophthora quercina,11,11,1999,P,NP,SS,NC,NA,CH,HS,,O,HO,S,TB,P,SA,2.7,0.49,M,,4.3,S,5,22,27,L,22,M
Phytophthora tubulina,11,,2017,P,NP,UN,NC,NA,NCH,HS,,O,HO,S,TB,P,B,2,0.38,M,,2.8,S,5,20,30,L,25,M
Phytophthora versiformis,11,11,2017,P,NP,SS,NC,NA,NCH,HS,,O,HO,S,NTB,P,P,2.57,0.46,M,,2.2,S,4,20,27,L,23,M
Phytophthora lilii,X,X,2015,NP,P,SS,NC,NA,CH,HS,,O,HO,S,TB,P,A,2.9,0.5,H,,2.6,S,5,25,35,M,30,W
Phytophthora stricta,X,X,2014,NP,P,UN,C,L,CH,NHS,,O,HE,S,NTB,A,P,1.5,0.32,M,,8,M,7,27.5,33,H,26,M
