species_name,root_disease,foliar_disease,symptoms,references,,,
Phytophthora europaea,1,0,In inoculation studies it was shown to aggressively infect the roots of Q. robur (Jung et al. 2002) and to the stem of Q. alba Q. rubra and Q. velutina (Balci et al. 2006),,,,
Phytophthora fallax,0,1,"leaf spots, petiole infection and twig and small branch lesions. ",,,,
Phytophthora flexuosa,1,0,pathogenicity tests: significant root rot but the reductions of fine root weight and shoot weight were not significant,,,,
Phytophthora fluvialis,0,0,not known to cause disease,,,,
Phytophthora foliorum,0,1,Leaf spots,,,,
Phytophthora formosa,1,0,pathogenicity tests: significant root rot but the reductions of fine root weight and shoot weight were not significant,,,,
Phytophthora fragariae,1,0,Red stele or red core root rot (Phytophthora database). Strawberry red core (DC database).,"Red stele or red core is the most important disease of strawberry worldwide. It can be detected by severely stunted plants. On warm days, entire plants or outer leaves of plants wilt suddenly (Fig. 5). Older leaves of infected plants become yellow, red, and brown. The root systems of infected plants are devoid of lateral roots, giving larger roots with black tips and a ""rat's tail"" appearance (Fig. 6). When the stele is cut, a red or reddish brown color is seen surrounding the white cortical tissue (Fig. 7). The red discoloration can extend up the root into the crown of the plant. Roots that develop during the summer months do not become infected and the plant can partially recover during the warm season. Oospores form in the root, crown, and leaves and can survive in the soil for many years (Erwin and Ribeiro, 1996).",,,
Phytophthora fragariaefolia,0,1,Crown rot,,,,
Phytophthora frigida,1,0,Eucalyptus collar and root rot,,,,
Phytophthora gallica,1,0,Declining Oaks,caused lesions in inoculations underbark and in abscised shoots ,,,
Phytophthora gemini,0,1,decaying leaves and seeds,,,,
Phytophthora gibbosa,0,0,pathogenicity and their role in natural ecosystems are unknown. ,,,,
Phytophthora glovera,1,0,"Root rot, stunting.",,,,
Phytophthora gonapodyides,1,0,"root rot , twig blight, fruit rot, stem lesions, ",,,,
Phytophthora gondwanensis,NA,NA,no pathogenicity tests,,,,
Phytophthora gregata,0,0,pathogenicity and their role in natural ecosystems are unknown. ,,,,
Phytophthora hedraiandra,0,1,leaf spot dieback,,,,
Phytophthora heveae,0,1,"Rot, leaf blight and stem canker. Disease symptoms on crop species include black stripe of rubber bud rot and nut fall of coconut and dieback of rhododendron (Erwin & Ribeiro 1996).","P. heveae causes pod rot and black stripe of rubber and pod rot of cocoa, whereas in Brazil nuts it causes spots and blight of the young stems. In avocadoes it causes cracked and bleeding cankers on the lower trunk and upper part of the rootstock; lesions generally form in the bark (Zentmeyer et al., 1978). Dieback has been observed on Rhododendron (Benson and Jones, 1980). In Agathis australis, cankers of the major roots and stem base accompanied by discoloured sapwood have been observed (Gadgil, 1974).",,,
Phytophthora hibernalis,0,1,Brown rot of fruit; leaf and twig blight.,,,,
Phytophthora himalsilva,0,0,"P. himasilva has been recovered from the rhizosphere of Quercus, Castanopsis, Carpinus and Cupressus spp. in Nepal. In pathogenicity trials it was capable of causing lesions on twigs of Juglans regia.",,,,
Phytophthora humicola,1,0,"Pathogenic to apple and cucumber, but not orange or eggplant, after wound inoculation.","Root Rot and Dieback of Pinus pinea, chlorosis, crown thinning, stunted growth, bark lesions at the stem base with resinous exudations, and extensive necroses of the underlying xylem tissue. Woody roots of two uprooted trees exhibited bark necroses and a high proportion of fine roots was destroyed. ",,,
Phytophthora hydrogena,0,0,Symptomatic plant samples infected by this species have never been observed. A pathogenicity test of P. hydrogena was done with rhododendron as test plants. Phytophthora hydrogena did not cause any obvious disease symptom on rhododendron three months after inoculation (phytophthora database),,,,
Phytophthora hydropathica,1,1,"leaf and stem necrosis, collar rot, seedling damping-off and root rots, fruit rot","leaf necrosis and shoot blight on Rhododendron catawbiense, collar rot on Kalmia latifolia (Hong et al., 2010), and has been associated with wilting and shoot dieback on V. tinus (Vitale et al., 2014).",,,
Phytophthora idaei,1,0, moderate root damage to raspberry canes,,,,
Phytophthora ilicis,0,1,leaf and twig blight,"Black blotches on leaves, die-back of stems",,,
Phytophthora infestans,1,1,Potato late blight,"blackish/brown lesions on leaves and stems (Figures 3,4) that may be small at first and appear water-soaked or have chlorotic borders but expand rapidly and the entire leaf becomes become necrotic. ",,,
Phytophthora insolita,0,1,marine saprotroph on mangrove leaves,Foliar necrotic lesions and twig dieback in rhododendron (Testa 2005),,,
Phytophthora intercalaris,0,0,"stream and nursery irrigation water in Maryland, Massachusetts, North Carolina, Virginia and West Virginia in the USA",,,,
Phytophthora intricata,1,0,"pathogenticity tests on C. sativa, F. sylvatica and Q. suber.  P. intricata showed 43.0 % root rot, 51.5 % reduction of fine root weight and necrotic root lesions or dieback of taproots (Fig. 13i) on 60 % of plants. ",,,,
Phytophthora inundata,1,0,Root and collar rot.,,,,
Phytophthora ipomoeae,0,1,blighted foliage,"blighted leaves and petioles (Badillo-Ponce, 2004)",,,
Phytophthora iranica,1,0,"Root and stem rot, tuber soft rot.",,,,
Phytophthora irrigata,0,0,isolated from irrigation reservoirs and rivers in Eastern United States of America,,,,
Phytophthora kernoviae,0,1,leaf necrosis and/or stem dieback in shrubs and bushes and some tree species,,,,
Phytophthora kwongonina,NA,NA,recovered from the rhizosphere soil and dead and dying plants within dry kwongon heathlands,no pathogenicity tests,,,
Phytophthora lactucae,1,0,Crown and root rot of lettuce,,,,
Phytophthora lacustris,1,0,diseased roots and stem bases,,,,
Phytophthora lateralis,1,1,"Root and crown rot, dying foliage","P. lateralis can also spread aerially under some conditions. In Europe especially (Green et al., 2013), and apparently in Taiwan (Webber et al., 2012), but only rarely in the USA (Trione and Roth, 1957; Trione, 1959), foliage is infected by wind-blown sporangia or zoospores. Initial infection arises via splash dispersal of propagules from soil to low-lying branches. Subsequent aerial spread is from sporangia and zoospores which have formed on the foliage (Trione, 1974) in cool wet conditions. New infections can spread into branches and the main stem, killing trees from the top down.",,,
Phytophthora lilii,0,0,stem blight,,,,
Phytophthora litchii,0,1,Leaf and Stem Downy Blight of Longan Seedlings,,,,
Phytophthora litoralis,0,0,"Pathogenic on Xanthorrhoea preissii, Banksia sp. and Casuarina obesa.",,,,
Phytophthora macilentosa,NA,NA,"recovered from irrigation water of an ornamental plant nursery in Mississippi, USA",no pathogenicity tests,,,
Phytophthora macrochlamydospora,1,0,Stem and root rot on soybean,,,,
Phytophthora meadii,0,1,Abnormal leaf fall of rubber,"Foliar blight of Leea coccinea, leaf spots",,,
Phytophthora medicaginis,1,0,"Root rot, damping-off of seedlings.",,,,
Phytophthora megakarya,1,1,"Pod rot, seedling blight, trunk canker. Inoculum does not survive in mummified pods, but survives in soil up to 18 months, possibly in infected roots","lesions with irregular edges on the fruit, roots / soft rot of cortex",,,
Phytophthora megasperma,1,0,crown and root rot of almond,,,,
Phytophthora melonis,1,1,"P. melonis causes infection in leaves, stems, and fruits of cucumber plants. The fungus initiates infection in the collar region, which turns greenish brown and becomes soft. The stem then shrinks, and the plant collapses. Lesions on the leaves turn darker green than the rest of the leaf and progress toward the pedicel. Fruit infection is initiated at the tip and leads to dark green, water-soaked lesions. ",,,,
Phytophthora mengei,1,0," P. mengei is a serious
canker pathogen on avocado in California; P. mengei invades
the large structural roots, the trunk and may extend
into the lower limbs. ",,,,
Phytophthora mexicana,0,1,Fruit rot. Also black wilt and damping off.,,,,
Phytophthora mirabilis,1,1,Leaf blight; shanking; white tip disease; leaf dieback; crown collar and root rot.,,,,
Phytophthora mississippiae,0,0,containment basins at one nursery each in Alabama and Mississippi,,,,
Phytophthora morindae,0,1,Black flag disease.,,,,
Phytophthora moyootj,0,0,"no known disease, mud from vehicle, baited from soil, isolated from
water from restored pit at mine site",,,,
Phytophthora multivesiculata,0,1,"Leaf and stem rot, bulb rot.",,,,
Phytophthora multivora,1,0,isolated from fine roots and collar lesions,,Scott et al. 2009,,
Phytophthora nagaii,0,1,"diseased rose crowns (Phytophthora database). Leaf and stem blight of rose (Rahman et al, 2014).",,,,
Phytophthora nemorosa,0,1,foliar and bole pathogen,"leaf spots and twig cankers (Fig. 3). P. nemorosa is seldom associated with lethal trunk cankers on mature trees, but when it does cause lethal cankers, P. nemorosa is usually associated with single dead trees rather than patches of dead trees",,,
Phytophthora nicotianae,1,1,"Black shank of tobacco, damping-off, crown rot, leaf blight, fruit rot.",Root Rot of Lycopersicon esculentum ,,,
Phytophthora niederhauserii,1,1,"Root rot, bark necrosis, ","Symptoms on various hosts included crown and stem rot, chlorosis, wilting, leaf blight, cankers and gumming",,,
Phytophthora obscura,0,1,"diseased leaf tissue of Kalmia latifolia, substrate underneath Pieris and from soil samples underneath Aesculus hippocastanum ",bleeding cankers in urban plantations,,,
Phytophthora occultans,1,0,Root rot,,,,
Phytophthora ornamentata,1,0,"P. ornamentata were the
most aggressive root pathogens on P. lentiscus (P < 0.0001), causing more than 60% reduction
of total root length (Fig 7B). All Phytophthora isolates were re-isolated from both necrotic
roots and soil. ",,,,
Phytophthora pachypleura,1,0,"root rot, wilting, blackened leaves, branch dieback and eventually plant death.",root rot of Aucuba japonica and other ornamentals,,,
Phytophthora palmivora,1,1,"Black pod and canker of cacao; patch canker, black stripe and leaf fall of rubber; bud rot of coconut, fruit and stem rot of pawpaw; root rot and damping-off of seedlings.",,Torres et al. 2016,,
Phytophthora parsiana,1,1,aerial cankers and gummosis ,root and crown necrosis,Fichtner et al. 2016,HAJEBRAHIMI et al. 2011,
Phytophthora parvispora,1,0,root Rot of Concinna Prayer Plant,,,,
Phytophthora phaseoli,0,1,"Downy mildew of Phaseolus lunatus (lima bean) is most destructive on pods, but the pathogen also infects shoots, leaves, and petioles",,,,
Phytophthora pini,1,0,"Root rot, canker",Necrotic lesions on Scot's pine seedlings in pathogenicity tests (Tkaczyk et al. 2016) ,pathogenicity tests: root rot and bark necroses in Populus × euramericana,,
Phytophthora pinifolia,0,1,"needle infections, exudation of resin at the bases of the needle bundles and, in younger trees, necrotic lesions in the cambium Hansen, E.M. 2012. Phytophthora pinifolia. Forest Phytophthoras 2(1). doi: 10.5399/osu/fp.2.1.3056 ",,,,
Phytophthora pisi,1,0,Root Rot of Pea and Faba Bean (Heyman et al. 2013),,,,
Phytophthora pistaciae,1,0,"pistachio gummosis (MIRSOLEIMANI and MOSTOWFIZADEH-GHALAMFARSA, 2017)","exudation of gum from the
crown. The tissues under the bark of the crowns, lower
trunks of affected trees, and roots turn brown or dark brown
and rot, often resulting in death of the tree (Mirabolfathy et al. 2001 Mycol. Res. 105 (10) : 1166–1175)",,,
Phytophthora plurivora,1,1,"Recovered from roots, rhizosphere soil, basal and stem cankers and shoots of some hosts",fine root pathogen,,,
Phytophthora pluvialis,0,1,"foliage disease of Pinus radiata, no recoveries of Phytophthora pluvialis having been made from the roots, stems or branches ","discrete olive coloured lesions, often with a narrow dark resinous mark or band, were first recognised in winter of 2008 in plantation forests on the eastern coast of the North Island. These lesions develop further to result in rapid needle senescence and premature defoliation. ",Dick etal. 2014,,
Phytophthora polonica,1,0,"slightly pathogenic to alder twigs, tissue discolouration progressing only a few millimetres beyond the inoculation wound after 10 days, present in rhizosphere soil of trees with yellowing of leaves and crown transparency",recovered from soil around declining alder trees but in laboratory tests was slightly pathogenic to alder twigs and not pathogenic to trunks of several tree species,,,
Phytophthora porri,1,1,Leaf blight; shanking; white tip disease; leaf dieback; crown collar and root rot.,,PhytophthoraDB,,
Phytophthora primulae,1,0,Brown core root rot,,PhytophthoraDB,,
Phytophthora pseudocryptogea,1,0,Root rot,,"Minnis, A.M., Farr, D.F., Rossman, A.Y. Fungal Nomenclature Database, U.S. National Fungus Collections, ARS, USDA.",,
Phytophthora pseudolactucae,0,1,Isolated from stem,infects the pith of the lettuce in aboveground parts,Feng et al. 2019,,
Phytophthora pseudopolonica,0,1,"All leaves of Castanopsis fargesii, Castanopsis sclerophylla
and Cyclobalanopsis glauca inoculated with isolates of
P. pseudopolonica produced black spots in 3 days",,,,
Phytophthora pseudorosacearum,NA,NA,no pathogenicity tests,,,,
Phytophthora pseudosyringae,1,1,"root and collar rot of Fagus sylvatica, Alnus glutinosa and Carpinus betulus", foliar blight of Vaccinium myrtillus,Phytophthora DB,Scanu et al. 2012,"Beales et al., 2009"
Phytophthora pseudotsugae,1,0,root rot of Douglas-fir,,,,
Phytophthora psychrophila,1,0,produce necrotic bark lesions on suberized tap roots of some Q. robur seedlings.,,PhytophthoraDB,Jung et al. 2002,
Phytophthora quercetorum,1,0,"Implicated in oak decline, associated with Quercus macrocarpa, Q. rubra, Q. phellos. Pathogenic towards stem of seedlings and fine roots of various oak seedlings in artificial pathogenicity tests.",,,,
Phytophthora quercina,1,0,"Implicated in oak decline, root and rhizosphere soil",root rot of European oaks,Jung et al. 1999,,
Phytophthora quininea,1,0,root and collar rot of Cinchona,,,,
Phytophthora ramorum,1,1,"lethal bole (trunk) cankers resulting in the disease called sudden oak death (SOD). On other native plant species as well as many horticultural nursery crops, P. ramorum causes a foliar blight and shoot dieback. The disease on these hosts is referred to as ramorum leaf blight or ramorum shoot blight.","Parke, J. L., and S. Lucas. 2008. ",,,
Phytophthora rhizophorae,NA,NA,substrate: leaves and seeds,no pathogenicity tests,,,
Phytophthora richardiae,1,0,root rot,USDA fungal database,,,
Phytophthora riparia,0,0,"Isolated from stream water, riparian soil, non-pathogenic on range of crops",,Stamler et al. 2016,,
Phytophthora rosacearum,1,0,"Root and collar rot. An important pathogen of rosaceous fruit trees, including apple and cherry in California, apple in New York, apricot in Maryland and peach in Ohio (Hansen et al 2009).",,,,
Phytophthora rubi,1,0,root rot on raspberry,,Weiland et al. 2018 Pl. Dis. 102(5): 938-947,,
Phytophthora sansomeana,1,0,Root rot,,"Tang, Q.H., Gao, F., Li, G.Y., Wang, H. , Zheng, X.B., and Wang, Y.C. 2010. First report of root rot caused by Phytophthora sansomeana on soybean in China. Pl. Dis. 94: 378.",,
Phytophthora siskiyouensis,1,0,stem lesions and cankers on Alnus incana,Collar rot on italian alder,"Perez-Sierra, A., Kalantarzadeh, M., Sancisi-Frey, S., and Brasier, C.M. 2015. Phytophthora siskiyouensis causing stem lesions and cankers on Alnus incana. New Disease Reports 31: 17.",,
Phytophthora sojae,1,0,"Root and stem rot of soybeans; seedling wilt, seedling blight of lupines",,,,
Phytophthora stricta,0,1,necrotic lesions at the tips of some mature leaves that had been in contact with the stream water,"recovered from irrigation water of an ornamental plant nursery in Mississippi, USA",Widmer et al. 2018,,
Phytophthora syringae,1,1,Collar and Fruit Rot of Malus pumila (Apple),water-soaked lesions on leaves of Syringa vulgaris,gumming cankers in pruning wounds,"Farr, D.F., & Rossman, A.Y. Fungal Databases, U.S. National Fungus Collections, ARS, USDA. Retrieved January 29, 2019, from https://nt.ars-grin.gov/fungaldatabases/",
Phytophthora tentaculata,1,0,decayed roots and lesions at the base of the stems,,Beal et al. 2018,,
Phytophthora terminalis,1,0, Root and stem base rot.,,Man in't Veld et al. 2015 Mycologia 107(1): 54-65,,
Phytophthora thermophila,0,0,"water associated with dying plants, recovered from declining and adjacent decline?free sites",soil (Jung et al. 2011),"Aghighi, S. , Burgess, T. I., Scott, J. K., Calver, M. and Hardy, G. E. (2016), Isolation and pathogenicity of Phytophthora species from declining Rubus anglocandicans. Plant Pathol, 65: 451-461",,
Phytophthora trifolii,1,0,Severe stand-depleting root rot. Infection can extend up to the crown.,,"Farr, D.F., & Rossman, A.Y. Fungal Databases, U.S. National Fungus Collections, ARS, USDA",,
Phytophthora tropicalis,1,1,causal agent of crown and root rot on Albizia julibrissin.,"wilt, dieback, and death of shoots",Leaf and Fruit Blight of Breadfruit,,
Phytophthora tubulina,1,0,Pathogenic to roots in pathogenicity tests.,,Jung et al. 2017 IMA Fungus 8(2): 219-244,,
Phytophthora tyrrhenica,1,0,Pathogenic to roots in pathogenicity tests.,,Jung et al. 2017 IMA Fungus 8(2): 219-245,,
Phytophthora uliginosa,1,0,Aggressive root rot and dieback of oaks. Associated with oak decline.,,,,
Phytophthora uniformis,1,0," Root and collar rot of riparian, nursery and shelterbelt alders",stem cankers ,,,
Phytophthora versiformis,0,0,Pathogenicity doubtful,,,,
Phytophthora vignae,1,1,"Stem rot, leaf spot, may completely destroy root system",,,,
Phytophthora virginiana,0,0,Isolated from irrigation water,host unknown,,,
Phytophthora vulcanica,1,0,Pathogenic to roots in pathogenicity tests,,,,
Phytophthora x alni,1,0,"Aggressive root and collar rot of riparian, nursery and shelterbelt alders",,,,
Phytophthora x andina,0,1,Blight,,,,
Phytophthora x heterohybrida,1,0,"pathogenicity tests on C. sativa, F. sylvatica, Q. suber: Phytophthora xheterohybrida caused mortality (Fig. 13b), collar rot (Fig. 13f) and necrotic root lesions or dieback of taproots (Fig. 13h) in 6.7 %, 20.0 % and 80 % of plants, respectively, and on average 63.3 % root rot and 48.3 % reduction of fine root weight  ",,,,
Phytophthora x incrassata,1,0,Isolated from river water,"pathogenicity tests on C. sativa F. sylvatica and Q. suber: Phytophthora xincrassata caused mortality (Fig. 13c), partly girdling collar rot infections (Fig. 13e) and necrotic root lesions or dieback of taproots ",,,
Phytophthora x multiformis,1,0,necrotic lesions in the inner bark," roots, collar",,,
Phytophthora x pelgrandis,1,0,"Root Rot and Lower Stem Necrosis of Common Box, Lavender and Port-Orford-Cedar in Hungary",,,,
Phytophthora x serendipita,1,0,bark necrosis and 100% root rot causing the decline of 11 poplar plants in soil infestation trials,,"Milenkovic et al. 2018 Forests 9, 330",,
Phytophthora x stagnum,NA,NA,recovered from irrigation reservoirs at several ornamental plant production facilities,no pathogenicity tests,,,
